number|merged_at|url|title|Feature|Change Type
4649|2024-04-09 18:28:32+00:00|https://github.com/casper-network/casper-node/pull/4649|casper_updater compatibility with Condor and version bumps|Core|Fix
4650|2024-04-10 15:38:05+00:00|https://github.com/casper-network/casper-node/pull/4650|Fix a bug in the BlockValidator|ExEng|Bugfix
4652|2024-04-09 03:38:44+00:00|https://github.com/casper-network/casper-node/pull/4652|2.0 ScratchDb fix|ExEng|Enhance
4653|2024-04-10 16:57:32+00:00|https://github.com/casper-network/casper-node/pull/4653|Use custom Serialize/Deserialize for EntityAddr|AddressableEntity|Enhance
4657|2024-04-25 12:42:55+00:00|https://github.com/casper-network/casper-node/pull/4657|Prevent stray `accounts.toml` files from breaking upgrades|Core|Bugfix
4659|2024-04-11 00:21:42+00:00|https://github.com/casper-network/casper-node/pull/4659|Correction of values for expected prod chainspec.toml.|Core|Fix
4663|2024-04-11 19:58:31+00:00|https://github.com/casper-network/casper-node/pull/4663|Syncing and cleanup of chainspec.toml values|Core|Fix
4664|2024-04-12 13:57:21+00:00|https://github.com/casper-network/casper-node/pull/4664|Makefile: fix rust smart contracts build|Core|Fix
4665|2024-04-15 14:12:07+00:00|https://github.com/casper-network/casper-node/pull/4665|Fix issues with custom payment|Core|Bugfix
4666|2024-04-23 16:08:19+00:00|https://github.com/casper-network/casper-node/pull/4666|Stub implementation of reservations|ExEng|Enhance
4667|2024-04-15 15:31:55+00:00|https://github.com/casper-network/casper-node/pull/4667|Remove 'json_rpc' crate and handle cors origin for REST server as string|Refactor|Refactor
4670|2024-04-25 16:23:11+00:00|https://github.com/casper-network/casper-node/pull/4670|Changed the format used to deserialize StoredValue::ContractPackage variant because it broke backwards compatibility.|ExEng|Bugfix
4671|2024-04-22 17:00:35+00:00|https://github.com/casper-network/casper-node/pull/4671|Amortized gas holds chainspec option|ExEng|Fees
4674|2024-05-02 18:15:05+00:00|https://github.com/casper-network/casper-node/pull/4674|Update build.rs to eliminate vergen and gitoxide dependencies|Build|Fix
4677|2024-05-09 14:25:06+00:00|https://github.com/casper-network/casper-node/pull/4677|Re-generate chainspec.toml for EE test support|Build|FixTest
4678|2024-04-29 19:04:48+00:00|https://github.com/casper-network/casper-node/pull/4678|Remove 'juliet' from the binary port|BinaryPort|Fix
4679|2024-06-05 16:07:38+00:00|https://github.com/casper-network/casper-node/pull/4679|Fixing ee tests|ExEng|TestFix
4680|2024-04-29 21:16:07+00:00|https://github.com/casper-network/casper-node/pull/4680|One time migration of accounts and contracts at upgrade|AddressableEntity|Enhance
4681|2024-04-26 00:08:18+00:00|https://github.com/casper-network/casper-node/pull/4681|Internalize block global and gas hold settings|ExEng|Enhance
4682|2024-04-27 00:29:00+00:00|https://github.com/casper-network/casper-node/pull/4682|Update emit message costs for production chainspec|NativeEvents|Enhance
4683|2024-05-10 17:11:56+00:00|https://github.com/casper-network/casper-node/pull/4683|Expand binary port error reporting|BinaryPort|Enhance
4684|2024-04-30 15:23:38+00:00|https://github.com/casper-network/casper-node/pull/4684|BUGFIX: Custom Payment / No Fee / No Refund interaction|Core|Bugfix
4687|2024-05-13 15:28:55+00:00|https://github.com/casper-network/casper-node/pull/4687|Block restructure|ExEng|Enhance
4689|2024-05-07 13:42:56+00:00|https://github.com/casper-network/casper-node/pull/4689|Use a shared enum for key prefixes|BinaryPort|Enhance
4690|2024-05-03 08:34:01+00:00|https://github.com/casper-network/casper-node/pull/4690|Remove balance by block request|BinaryPort|Enhance
4691|2024-05-06 00:11:33+00:00|https://github.com/casper-network/casper-node/pull/4691|Migrate entry points|AddressableEntity|Enhance
4693|2024-05-07 12:12:13+00:00|https://github.com/casper-network/casper-node/pull/4693|Fix version string|Core|Fix
4699|2024-05-07 15:36:11+00:00|https://github.com/casper-network/casper-node/pull/4699|Use compile-time env rather than runtime for git hash|Core|Fix
4700|2024-05-08 17:18:38+00:00|https://github.com/casper-network/casper-node/pull/4700|Add ItemsByPrefix request|BinaryPort|Enhance
4701|2024-05-16 13:53:35+00:00|https://github.com/casper-network/casper-node/pull/4701|NoFee validator credit|ExEng|Fees,Rewards
4702|2024-05-13 16:05:25+00:00|https://github.com/casper-network/casper-node/pull/4702|BlockSynchronizer: turn down log level|Core|Fix
4703|2024-05-10 12:02:56+00:00|https://github.com/casper-network/casper-node/pull/4703|Add test counter to nightly tests script|Tests|FixTest
4704|2024-05-10 19:24:01+00:00|https://github.com/casper-network/casper-node/pull/4704|Fix block vacancy bug|Core|Bugfix
4705|2024-05-09 19:29:24+00:00|https://github.com/casper-network/casper-node/pull/4705|Fix stalled block synchronizer test|Tests|FixTest
4711|2024-05-13 22:02:03+00:00|https://github.com/casper-network/casper-node/pull/4711|Efficient byte prefix queries for tracking copy cache|Storage|Optimization
4712|2024-05-16 18:22:43+00:00|https://github.com/casper-network/casper-node/pull/4712|Fix named key retrieval for system entities in WasmTestBuilder|Tests|FixTest
4715|2024-05-15 03:31:19+00:00|https://github.com/casper-network/casper-node/pull/4715|Update `DeployBuilder`|Transactions|Fix
4717|2024-05-17 12:06:45+00:00|https://github.com/casper-network/casper-node/pull/4717|Remove bytesrepr impls from PayloadType|BinaryPort|Refactor
4718|2024-05-17 18:17:44+00:00|https://github.com/casper-network/casper-node/pull/4718|Fix bid addr key formatting/parsing|Core|Bugfix
4719|2024-05-21 16:11:36+00:00|https://github.com/casper-network/casper-node/pull/4719|Change the unbonding process to only prune bids after unbonding is processed|Protocol|Enhance
4720|2024-05-24 16:10:50+00:00|https://github.com/casper-network/casper-node/pull/4720|Transaction buffer improvements|Transactions|Enhance
4721|2024-05-29 11:45:56+00:00|https://github.com/casper-network/casper-node/pull/4721|Expand standard|Transactions|Enhance
4722|2024-05-22 14:28:43+00:00|https://github.com/casper-network/casper-node/pull/4722|BUG FIX: native auction uref extension|Core|Bugfix
4723|2024-05-30 10:25:52+00:00|https://github.com/casper-network/casper-node/pull/4723|Small refactors in support for `casper-db-utils` rewrite.|Core|Refactor
4725|2024-05-30 13:14:53+00:00|https://github.com/casper-network/casper-node/pull/4725|Fix entry point and argument transaction issues|Transactions|Bugfix
4726|2024-06-18 15:25:28+00:00|https://github.com/casper-network/casper-node/pull/4726|Introduce Request Id for binary port communication|BinaryPort|Enhance
4728|2024-05-30 00:51:21+00:00|https://github.com/casper-network/casper-node/pull/4728|Alter reward distribution logic to take account of prior eras' delegator identities and weights|Rewards|Enhance
4730|2024-05-29 20:02:31+00:00|https://github.com/casper-network/casper-node/pull/4730|Chainspec fixes for lane numberings and slot gas allocations|ExEng|Enhance
4732|2024-06-05 15:18:36+00:00|https://github.com/casper-network/casper-node/pull/4732|Cherry pick changes for avoiding leaf deserialization|1.X|Fix
4733|2024-06-04 13:10:24+00:00|https://github.com/casper-network/casper-node/pull/4733|"Remove unused ""gas_hold_handling"" from binary port config"|BinaryPort|Fix
4734|2024-06-06 12:36:55+00:00|https://github.com/casper-network/casper-node/pull/4734|Protocol upgrade as async task|Protocol|Enhance
4735|2024-06-06 13:57:24+00:00|https://github.com/casper-network/casper-node/pull/4735|types/transaction/deploy: bring back the `Mint` category for transfers|Transactions|Bugfix
4736|2024-06-07 17:53:57+00:00|https://github.com/casper-network/casper-node/pull/4736|Initial implementation of a reward request|Rewards|Enhance
4739|2024-06-06 22:23:17+00:00|https://github.com/casper-network/casper-node/pull/4739|Bump upgrade timeout in config|Upgrade|Fix
4742|2024-06-17 20:10:18+00:00|https://github.com/casper-network/casper-node/pull/4742|Porting old 1.6 prs|1.X|Fix
4744|2024-06-17 21:07:57+00:00|https://github.com/casper-network/casper-node/pull/4744|types/transaction: remove `TransactionSessionKind`|Transactions|Refactor
4745|2024-06-14 19:24:53+00:00|https://github.com/casper-network/casper-node/pull/4745|Caller extension|ExEng|Enhance
4746|2024-07-09 21:11:24+00:00|https://github.com/casper-network/casper-node/pull/4746|Including new rewards in the changelog|Rewards|Fix
4747|2024-06-17 15:39:14+00:00|https://github.com/casper-network/casper-node/pull/4747|Remove 'highway.reduced_reward_multiplier' from the chainspec|Protocol|Fix
4748|2024-06-17 09:12:59+00:00|https://github.com/casper-network/casper-node/pull/4748|Fix flaky 'should_fetch_from_multiple_peers' test|Protocol|FixTest
4749|2024-06-14 23:52:48+00:00|https://github.com/casper-network/casper-node/pull/4749|Fix incorrect handling of large bids and unbonds|Protocol|Bugfix
4750|2024-06-21 14:13:25+00:00|https://github.com/casper-network/casper-node/pull/4750|Add a `decode` subcommand to `global-state-update-gen`|Update|Enhance
4751|2024-06-18 14:00:17+00:00|https://github.com/casper-network/casper-node/pull/4751|contract_runtime: add more metrics|Runtime|Enhance
4752|2024-06-15 06:00:15+00:00|https://github.com/casper-network/casper-node/pull/4752|quick fix for direct stored exec|Runtime|Bugfix
4753|2024-06-18 17:28:16+00:00|https://github.com/casper-network/casper-node/pull/4753|Update 'casper-sidecar' CI dependency to point to `feat-2.0` branch|CI|Fix
4754|2024-06-25 06:05:19+00:00|https://github.com/casper-network/casper-node/pull/4754|Update handling of binary port errors|BinaryPort|Enhance
4755|2024-06-25 14:52:11+00:00|https://github.com/casper-network/casper-node/pull/4755|Use protocol version from the requested block in reward request|Protocol|Bugfix
4756|2024-06-21 12:50:38+00:00|https://github.com/casper-network/casper-node/pull/4756|Update RUSTSEC issues|Build|Cleanup
4757|2024-06-25 13:45:08+00:00|https://github.com/casper-network/casper-node/pull/4757|Add tracing to the binary port component|BinaryPort|Enhance
4758|2024-06-25 21:38:02+00:00|https://github.com/casper-network/casper-node/pull/4758|Fix an issue where a switch block was executing very slowly (minutes)|ExEng|Enhance
4759|2024-07-03 20:04:56+00:00|https://github.com/casper-network/casper-node/pull/4759|BUGFIX: include validator credit in snapshot|ExEng|Bugfix
4760|2024-07-04 14:37:40+00:00|https://github.com/casper-network/casper-node/pull/4760|Keep minimum/maximum delegation amounts when updating bids|Protocol|Bugfix
4761|2024-06-25 20:23:48+00:00|https://github.com/casper-network/casper-node/pull/4761|Provide more visibility into error codes in binary port|BinaryPort|Enhance
4762|2024-06-25 22:50:13+00:00|https://github.com/casper-network/casper-node/pull/4762|[BUGFIX]: Fix in account hash indirection for addressable entity|AddressableEntity|Bugfix
4764|2024-06-26 16:18:48+00:00|https://github.com/casper-network/casper-node/pull/4764|Derive `Serialize` for some of the types|BinaryPort|Enhance
4765|2024-06-26 13:37:31+00:00|https://github.com/casper-network/casper-node/pull/4765|Minor edits in BINARY_PORT_PROTOCOL.md.|AddressableEntity|Docs
4767|2024-07-23 14:18:07+00:00|https://github.com/casper-network/casper-node/pull/4767|Lower verbosity of a repeated log|Zug|Enhance
4770|2024-07-04 13:49:16+00:00|https://github.com/casper-network/casper-node/pull/4770|Expose delegation rate in reward responses|BinaryPort|Enhance
4775|2024-08-15 16:46:33+00:00|https://github.com/casper-network/casper-node/pull/4775|Precursor for reserved delegator slots|ExEng|Enhance
4781|2024-07-02 14:51:59+00:00|https://github.com/casper-network/casper-node/pull/4781|Rc3 block validator tests fix|Protocol|TestFix
4785|2024-07-04 12:54:36+00:00|https://github.com/casper-network/casper-node/pull/4785|"Fix the ""No such contract"" error"|Runtime|Bugfix
4786|2024-07-18 15:57:53+00:00|https://github.com/casper-network/casper-node/pull/4786|Remove revert on deser in try_get_named_arg introduced in #4569|Runtime|Enhance
4787|2024-07-05 15:45:24+00:00|https://github.com/casper-network/casper-node/pull/4787|Expose protocol version in NodeStatus|BinaryPort|Enhance
4789|2024-07-09 20:26:43+00:00|https://github.com/casper-network/casper-node/pull/4789|Fix a bug in rewards calculation and add a test|Runtime|Bugfix
4795|2024-07-09 18:23:27+00:00|https://github.com/casper-network/casper-node/pull/4795|Drop effects if WASM module execution caused a revert and also add a test for this.|ExEng|Enhance
4796|2024-07-09 17:33:24+00:00|https://github.com/casper-network/casper-node/pull/4796|Add a version information request|BinaryPort|Enhance
4798|2024-07-12 13:56:23+00:00|https://github.com/casper-network/casper-node/pull/4798|Migration version bug fix|Upgrade|Bugfix
4802|2024-07-12 14:56:24+00:00|https://github.com/casper-network/casper-node/pull/4802|Fix unbonding failing if accounts weren't migrated|Upgrade|Bugfix
4805|2024-07-18 12:09:33+00:00|https://github.com/casper-network/casper-node/pull/4805|Fix issue with multiple balance holds in the same block.|Transactions|Bugfix
4809|2024-07-23 15:58:07+00:00|https://github.com/casper-network/casper-node/pull/4809|BUGFIX: Fix miswire of min max delegations amount|Runtime|Bugfix
4810|2024-07-18 13:06:48+00:00|https://github.com/casper-network/casper-node/pull/4810|Bump rust-toolchain to 1.77.2|CI|Cleanup
4814|2024-07-22 14:55:12+00:00|https://github.com/casper-network/casper-node/pull/4814|Reject transactions with gas price tolerance lower than minimum chain threshold|Transactions|Enhance
4815|2024-07-25 14:25:09+00:00|https://github.com/casper-network/casper-node/pull/4815|Bump 'vergen' version to dodge RUSTSEC issues|CI|Cleanup
4816|2024-07-26 13:05:04+00:00|https://github.com/casper-network/casper-node/pull/4816|Return the switch block hash with rewards response|BinaryPort|Enhance
4817|2024-07-26 16:46:47+00:00|https://github.com/casper-network/casper-node/pull/4817|Add an error code for purse not found for balance requests|BinaryPort|Enhance
4822|2024-08-13 22:21:19+00:00|https://github.com/casper-network/casper-node/pull/4822|trie store: fix extension node split when inserting key of variable len|Node|Enhance
4823|2024-09-10 15:51:04+00:00|https://github.com/casper-network/casper-node/pull/4823|Introducing calltable serialization to `TransactionV1` structures subtree.|Transactions|Enhance
4827|2024-08-14 19:26:14+00:00|https://github.com/casper-network/casper-node/pull/4827|Revert keeping zero bids in the auction state|ExEng|Fix
4830|2024-08-17 22:49:23+00:00|https://github.com/casper-network/casper-node/pull/4830|Add gas price to appendable block|Node|Enhance
4831|2024-08-21 00:02:13+00:00|https://github.com/casper-network/casper-node/pull/4831|Consistent carry forward|Upgrade|Enhance
4836|2024-08-30 20:25:31+00:00|https://github.com/casper-network/casper-node/pull/4836|Add batch write operation to trie store|Node|Enhance
4840|2024-08-30 12:40:32+00:00|https://github.com/casper-network/casper-node/pull/4840|Bump transaction limits in the `ttl` test for block validator|Transactions|Testfix
4843|2024-09-05 12:44:34+00:00|https://github.com/casper-network/casper-node/pull/4843|Extend FFI for backwards compatibility|ExEng|Fix
4844|2024-09-10 13:34:32+00:00|https://github.com/casper-network/casper-node/pull/4844|Port the changes related to handling of unbonds in `global-state-update-gen` to `feat-2.0`|1.X|Enhance
4845|2024-09-06 16:38:30+00:00|https://github.com/casper-network/casper-node/pull/4845|Implement Entity and Package information requests (redux)|BinaryPort|Enhance
